Date,BTC,LTC,NMC,PPC,FTC,XRP,DOGE,VTC,DGB,RDD,DASH,XCP,MONA,GRS,XMR,CLOAK,BCN,NAV,XDN,BTS,VIA,XLM,SYS,EMC,GAME,XVG,BLOCK,XEM,ETH
2016-11-13T23:00:00Z,705.0209960938,3.87616992,0.2249539942,0.260886997,0.00660560000688,0.00809752009809,2.2317000548e-4,0.0295452997,2.7489100466e-4,4.227380123e-5,9.6791400909,2.585860014,0.0260466002,0.00172618997749,7.7122898102,0.073361598,4.927970076e-5,0.0386875011,1.7554999795e-4,0.00427703978494,0.0189136993,0.00187964003999,0.00862761959434,0.1944209933,0.1630199999,2.113769915e-5,0.2076659948,0.00425601983443,9.9664802551
2016-11-14T23:00:00Z,711.6190185547,3.8935899734,0.228027001,0.2624549866,0.00665182014927,0.00788052007556,2.2178899962e-4,0.0311469007,2.8465900687e-4,4.268639896e-5,9.6374797821,2.4376299381,0.0257599,0.00166207004804,7.2972102165,0.0863365978,5.082970165e-5,0.0358272009,1.7584800662e-4,0.0042083398439,0.0264109001,0.0018525699852,0.00953331962228,0.1907300055,0.1717540026,2.134860006e-5,0.2025399953,0.00419196020812,10.217499733
2016-11-15T23:00:00Z,744.1979980469,4.0194802284,0.2248969972,0.2562440038,0.00610170001164,0.00784161034971,2.2104699747e-4,0.0296898,2.7538300492e-4,3.721490066e-5,9.4512500763,2.2084100246,0.0241679996,0.00174171000253,6.5823202133,0.0767932013,5.859070006e-5,0.0381539986,1.785219938e-4,0.00404739007354,0.0252129007,0.00177164003253,0.00936890020967,0.1928199977,0.1725399941,2.232730003e-5,0.1984000057,0.00399219011888,10.059100151100001
2016-11-16T23:00:00Z,740.9769897461,3.9431900978,0.2245990038,0.2489490062,0.00609009014443,0.00772663997486,2.2372600506e-4,0.0282265991,2.7349201264e-4,3.787460082e-5,9.0236196518,2.3703899384,0.0236422997,0.00185154995415,6.7884497643,0.0821145028,5.19423993e-5,0.034198001,1.7051000032e-4,0.00415246980265,0.0220346004,0.00181995995808,0.00891274027526,0.1967010051,0.1707980037,2.225470053e-5,0.1927839965,0.00402090977877,9.9911804199
2016-11-17T23:00:00Z,751.5850219727,3.9613199234,0.2275940031,0.2558450103,0.00636646011844,0.00777787016705,2.1772499895e-4,0.0287087001,2.6317199809e-4,3.438660133e-5,8.9543304443,2.2417099476,0.0236095004,0.00175161997322,6.7200498581,0.0922582,5.789229908e-5,0.0329492018,1.7294099962e-4,0.00408249022439,0.0205632001,0.00180665997323,0.00877165980637,0.1878010035,0.1680890024,2.265510011e-5,0.1977179945,0.00400841003284,9.4761600494
2016-11-18T23:00:00Z,751.616027832,3.953799963,0.2241840065,0.2473540008,0.00617492990568,0.00779919978231,2.202540054e-4,0.0277650002,2.7059100103e-4,3.768079841e-5,8.4818601608,2.2519600391,0.0247203,0.00154078996275,6.5521497726,0.0899735987,5.257299927e-5,0.0295911003,1.7309500254e-4,0.00414138985798,0.0217546001,0.00179639004637,0.00907955970615,0.1821459979,0.171679005,2.326739923e-5,0.1959140003,0.00399295985699,9.6627597809
2016-11-19T23:00:00Z,731.0260009766,3.9219400883,0.2187190056,0.2434149981,0.00606594979763,0.00765113020316,2.1869900229e-4,0.0269620996,2.7151199174e-4,3.779899998e-5,8.5115299225,2.2065799236,0.0245670006,0.00164471997414,6.5835700035,0.0913605019,4.421779886e-5,0.0281035006,1.6595699708e-4,0.0040704999119,0.0224517006,0.00176012003794,0.0101113999,0.1855410039,0.1733489931,2.205880082e-5,0.198596999,0.00394278997555,9.5792798996
2016-11-20T23:00:00Z,739.2479858398,3.9448800087,0.2157749981,0.2418009937,0.00607567979023,0.00756630022079,2.2212599288e-4,0.0274772998,2.7460898855e-4,3.857289994e-5,8.5799398422,2.2159399986,0.0243023001,0.00161157001276,6.7977199554,0.0890519992,5.069790132e-5,0.0283547994,1.6457600577e-4,0.00400923006237,0.0213401001,0.00175535003655,0.00927514955401,0.177422002,0.1789280027,2.218749978e-5,0.2037709951,0.003936749883,9.6208200455
2016-11-21T23:00:00Z,751.3469848633,3.9473099709,0.219205007,0.2536759973,0.00627079978585,0.00743390014395,2.2421299946e-4,0.0263774004,2.7091999073e-4,3.921149982e-5,8.6250200272,2.0927400589,0.0248527993,0.00154046004172,7.6880598068,0.119370997,4.544220064e-5,0.0259329993,1.5927599452e-4,0.00401702988893,0.0202917997,0.00173529994208,0.00994310993701,0.1744620055,0.1698510051,2.254080027e-5,0.2156910002,0.0037597399205,9.9057197571
2016-11-22T23:00:00Z,744.5939941406,3.92531991,0.2162320018,0.2642560005,0.00612722989172,0.00706123979762,2.1852100326e-4,0.0267440993,2.6193200029e-4,3.905400081e-5,8.5119400024,2.1677799225,0.0240758006,0.00162353005726,7.9136300087,0.1122810021,4.852929851e-5,0.0267482009,1.6418499581e-4,0.00404773978516,0.0202491004,0.00173332996201,0.00993687007576,0.1725510061,0.1807509959,2.233740088e-5,0.245848,0.00370708992705,9.8436203003
